,default_payment
default_payment,1.0
Pay_delay_max,0.3310816066805244
PAY_0,0.32496375967679036
Pay_delay_mean,0.28198870667754405
PAY_2,0.26365623131100085
Pay_delay_std,0.24916048504637742
Risk_score,0.23948791929766092
PAY_3,0.2352304791711376
PAY_4,0.21655085455746317
PAY_5,0.2040591287539334
PAY_6,0.1867396249876777
Utilization_mean,0.11544943539487357
Utilization_1,0.08610464559932786
EDUCATION,0.033861518913891754
AGE,0.013619351116094566
BILL_AMT6,-0.00546863734059902
BILL_AMT5,-0.006859294776426932
BILL_AMT4,-0.01025920949369577
Bill_mean,-0.01280178696247721
BILL_AMT3,-0.014181945965625897
BILL_AMT2,-0.014301695285761697
BILL_AMT1,-0.019757561189393407
MARRIAGE,-0.02725877626367302
SEX,-0.039741642824276044
Bill_max,-0.04105648759196773
PAY_AMT6,-0.053250209183659775
PAY_AMT5,-0.055194253060265666
PAY_AMT3,-0.056319387494510494
PAY_AMT4,-0.0568981788417529
PAY_AMT2,-0.058643381925690914
PAY_AMT1,-0.07301487306669871
Bill_std,-0.07998129661804355
Pays_amts_mean,-0.10248811458609243
Pays_amts_total,-0.10248811458609293
LIMIT_BAL,-0.1538710392358414
