LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default_payment,Pay_delay_mean,Pay_delay_max,Pay_delay_std,Bill_mean,Bill_std,Bill_max,Pays_amts_total,Pays_amts_mean,Utilization_1,Utilization_mean,Risk_score
20000.0,2,2,1,24,2,2,-1,-1,-2,-2,3913.0,3102.0,689.0,0.0,0.0,0.0,0.0,689.0,0.0,0.0,0.0,0.0,1,-0.3333333333333333,2,1.8618986725025257,1284.0,1761.6332194869624,3913.0,689.0,114.83333333333333,0.19564021798910056,0.06419679016049197,-0.2049397530123494
120000.0,2,2,2,26,-1,2,0,0,0,2,2682.0,1725.0,2682.0,3272.0,3455.0,3261.0,0.0,1000.0,1000.0,1000.0,0.0,2000.0,1,0.5,2,1.224744871391589,2846.1666666666665,637.9678414047738,3455.0,5000.0,833.3333333333334,0.02234981375155207,0.023717857906739664,0.5474357158134793
90000.0,2,2,2,34,0,0,0,0,0,0,29239.0,14027.0,13559.0,14331.0,14948.0,15549.0,1518.0,1500.0,1000.0,1000.0,1000.0,5000.0,0,0.0,0,0.0,16942.166666666668,6064.51859315038,29239.0,11018.0,1836.3333333333333,0.3248741680647993,0.18824420469402192,0.37648840938804384
50000.0,2,2,1,37,0,0,0,0,0,0,46990.0,48233.0,49291.0,28314.0,28959.0,29547.0,2000.0,2019.0,1200.0,1100.0,1069.0,1000.0,0,0.0,0,0.0,38555.666666666664,10565.793518078359,49291.0,8388.0,1398.0,0.9397812043759125,0.7710979113751057,1.5421958227502115
50000.0,1,2,1,57,-1,0,-1,0,0,0,8617.0,5670.0,35835.0,20940.0,19146.0,19131.0,2000.0,36681.0,10000.0,9000.0,689.0,679.0,0,-0.3333333333333333,0,0.5163977794943223,18223.166666666668,10668.590073981974,35835.0,59049.0,9841.5,0.17233655326893463,0.3644560442124491,0.39557875509156487
50000.0,1,1,2,37,0,0,0,0,0,0,64400.0,57069.0,57608.0,19394.0,19619.0,20024.0,2500.0,1815.0,657.0,1000.0,1000.0,800.0,0,0.0,0,0.0,39685.666666666664,22068.949070281225,64400.0,7772.0,1295.3333333333333,1.2879742405151897,0.7936974593841456,1.5873949187682912
500000.0,1,1,2,29,0,0,0,0,0,0,367965.0,412023.0,445007.0,542653.0,483003.0,473944.0,55000.0,40000.0,38000.0,20239.0,13750.0,13770.0,0,0.0,0,0.0,454099.1666666667,60569.29313246661,542653.0,180759.0,30126.5,0.7359285281429437,0.9081965169402995,1.816393033880599
100000.0,2,2,2,23,0,-1,-1,0,0,-1,11876.0,380.0,601.0,221.0,-159.0,567.0,380.0,601.0,0.0,581.0,1687.0,1542.0,0,-0.5,0,0.5477225575051661,2247.6666666666665,4725.009107574997,11876.0,4791.0,798.5,0.11875881241187589,0.02247644190224764,-0.45504711619550475
140000.0,2,3,1,28,0,0,2,0,0,0,11285.0,14096.0,12108.0,12211.0,11793.0,3719.0,3329.0,0.0,432.0,1000.0,1000.0,1000.0,0,0.3333333333333333,2,0.816496580927726,10868.666666666666,3630.397921256934,14096.0,6761.0,1126.8333333333333,0.08060656709594931,0.07763277881348467,0.4885988909603027
20000.0,1,3,2,35,-2,-2,-2,-2,-1,-1,0.0,0.0,0.0,0.0,13007.0,13912.0,0.0,0.0,0.0,13007.0,1122.0,0.0,0,-1.6666666666666667,-1,0.5163977794943223,4486.5,6956.345297640133,13912.0,14129.0,2354.8333333333335,0.0,0.22431378431078447,-1.2180390980450977
200000.0,2,3,2,34,0,0,2,0,0,-1,11073.0,9787.0,5535.0,2513.0,1828.0,3731.0,2306.0,12.0,50.0,300.0,3738.0,66.0,0,0.16666666666666666,2,0.983192080250175,5744.5,3863.01321509518,11073.0,6472.0,1078.6666666666667,0.05536472317638412,0.02872235638821806,0.22411137944310278
260000.0,2,1,2,51,-1,-1,-1,-1,-1,2,12261.0,21670.0,9966.0,8517.0,22287.0,13668.0,21818.0,9966.0,8583.0,22301.0,0.0,3640.0,0,-0.5,2,1.224744871391589,14728.166666666666,5895.637350335132,22287.0,66308.0,11051.333333333334,0.04715751093265026,0.05664657700034487,-0.38670684599931027
630000.0,2,2,2,41,-1,0,-1,-1,-1,-1,12137.0,6500.0,6500.0,6500.0,6500.0,2870.0,1000.0,6500.0,6500.0,6500.0,2870.0,0.0,0,-0.8333333333333334,0,0.408248290463863,6834.5,2975.9478322040527,12137.0,23370.0,3895.0,0.019265048785636847,0.010848395478737335,-0.8116365423758588
