feature,coefficient
Pay_delay_mean,0.5221938433029621
PAY_0,0.33375500178038764
Pay_delay_std,0.3052315299056087
Utilization_mean,0.09278379517946386
n_months_over_limit,0.05690604077307153
AGE,0.038737558362541016
Bill_max,0.011982191027785041
MARRIAGE_3,-0.015367393384246883
EDUCATION_2,-0.016684013815908765
EDUCATION_3,-0.033216028041822235
SEX_2,-0.03437665572016381
MARRIAGE_2,-0.08652582750109915
Pay_delay_max,-0.08805992585584264
LIMIT_BAL,-0.09818371199338158
Pays_amts_mean,-0.10844844286099335
EDUCATION_4,-0.11679535126118791
Bill_std,-0.21270128817638492
Bill_mean,-0.2596981588132015
