feature,coefficient
Pay_delay_mean,0.5310563861882426
PAY_0,0.3880668837269315
Pay_delay_std,0.28589095052744085
Utilization_mean,0.07605847541742967
AGE,0.03361232029770222
n_months_over_limit,0.027265552103970532
Bill_max,0.01659331320978745
MARRIAGE_3,-0.015202443451636604
EDUCATION_2,-0.03140485194656194
SEX_2,-0.03429651579425897
EDUCATION_3,-0.04357095886575697
MARRIAGE_2,-0.08479087462828944
Pays_amts_mean,-0.08731329482800516
LIMIT_BAL,-0.10719912968383791
Pay_delay_max,-0.1130469382024367
EDUCATION_4,-0.12984131643081048
Bill_mean,-0.19200671293939486
Bill_std,-0.22051212952863108
