feature,coefficient
Pay_delay_mean,1.262198820769516
Pay_delay_std,0.8991386249338429
PAY_0,0.42419380625896125
Utilization_mean,0.2552238945287562
AGE,0.0698131049745381
SEX_2,0.029470350696568486
Bill_max,-0.029606769051059186
Pays_amts_mean,-0.05340433974359294
EDUCATION_2,-0.08995650620416687
LIMIT_BAL,-0.09498903271431491
MARRIAGE_2,-0.10262341669337012
n_months_over_limit,-0.10625793017745892
MARRIAGE_3,-0.10996678519184569
EDUCATION_4,-0.24147970674642127
Bill_mean,-0.27320741203054844
Bill_std,-0.325777381625732
EDUCATION_3,-0.34477847795802546
Pay_delay_max,-1.0492730030171544
